validacion,detalle,n_registros,ari_vs_base,distribucion_clusters
semilla,seed=7,1277,0.9926628429892291,C0=1035; C1=242
semilla,seed=13,1277,0.9926628429892291,C0=1035; C1=242
semilla,seed=21,1277,0.9926628429892291,C0=1035; C1=242
semilla,seed=42,1277,1.0,C0=1033; C1=244
semilla,seed=99,1277,0.9926628429892291,C0=242; C1=1035
submuestra_80,seed=101,1021,0.9816522024877539,C0=239; C1=1038
submuestra_80,seed=202,1021,0.9568387143908922,C0=256; C1=1021
submuestra_80,seed=303,1021,0.9889933093713965,C0=1036; C1=241
submuestra_80,seed=404,1021,0.939346378266505,C0=1016; C1=261
submuestra_80,seed=505,1021,0.9596106810393615,C0=1044; C1=233
periodo,2022-1,270,0.025948493270521067,C0=128; C1=142
periodo,2022-2,263,0.6448544613903546,C0=201; C1=62
periodo,2023-1,196,0.9349545018536282,C0=49; C1=147
periodo,2023-2,185,1.0,C0=42; C1=143
periodo,2024-1,141,0.9684615595300047,C0=111; C1=30
periodo,2024-2,109,0.837596865613988,C0=89; C1=20
periodo,2025-1,113,0.843651226849795,C0=92; C1=21
