representation,k,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,n_samples,iterations
scaled_features,2,19568.14036906559,0.3176395626594764,275.48039570297783,1.550418690309271,180,819,999,5
scaled_features,3,17294.522827831704,0.17587129006518723,221.161212125756,1.6814290521640836,178,634,999,9
scaled_features,4,15563.196926680572,0.17113546769530721,200.5745585149991,1.7177635870223311,146,509,999,9
scaled_features,5,14341.230177376518,0.16338269260034402,184.25837729670522,1.7165062097835986,111,357,999,16
scaled_features,6,13309.304320541669,0.1653862093702755,174.07424957325918,1.7238072109254972,102,297,999,13
scaled_features,7,12439.772945528712,0.17267503816652174,166.60198558936293,1.6730215766211658,50,298,999,15
scaled_features,8,11973.5059841189,0.17184484584656665,153.7260752057507,1.7008090602708235,50,298,999,19
pca_90,2,17361.098914344308,0.3255789062232767,310.1769170943589,1.4632741329176733,187,812,999,6
pca_90,3,15090.64025335236,0.19879099628420474,253.16976685220843,1.5601917729665693,182,630,999,14
pca_90,4,13372.173878234771,0.19368940398108084,232.9013019387974,1.5906125652548195,148,507,999,23
pca_90,5,12149.989563844158,0.18696735029581574,217.05062235302944,1.5693800268645597,108,350,999,10
pca_90,6,11111.33446032105,0.18679851755644583,208.2454347790091,1.563659981154028,63,305,999,26
pca_90,7,10349.218417818329,0.19718079498928426,198.30469340957936,1.5375392936430372,50,296,999,9
pca_90,8,9881.435607973557,0.19852503593535187,184.5444859134023,1.5494431948339247,50,296,999,15
