id_estudiante,id_periodo,programa,cohorte,estatus_academico,cluster,distance_to_centroid,membership_score
IAG20200007,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.6721706488465515,0.21403327813954665
IAG20200007,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,3.0002490002601685,0.24998443845244678
IAG20200007,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.4148563459841705,0.22650793630230284
IAG20200029,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,5.1512435488128405,0.16256875411688015
IAG20200029,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,1,4.561380496163795,0.17981146959640573
IAG20200039,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,4.174551452669416,0.19325346537700888
IAG20200039,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,2.906349246462993,0.2559934959490503
IAG20200039,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,6.289314811606393,0.137187105488674
IAG20200051,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.2595780640750625,0.23476503657343886
IAG20200051,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,4.147147142143638,0.19428238058559347
IAG20200051,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,4.776459199019203,0.1731164309391802
IAG20200051,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,1,3.621489946069807,0.2163804339443423
IAG20200084,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,1,4.791440158496861,0.1726686234567854
IAG20200084,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,4.421782410055636,0.18444119006792425
IAG20200095,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,5.421979422049675,0.15571522957026768
IAG20200095,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.9403894878207466,0.20241319079502568
IAG20200097,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.34430203671347,0.23018657348155172
IAG20200097,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.591708864723926,0.21778384245624957
IAG20200097,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,4.483297401695026,0.18237201573105896
IAG20200097,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,5.392035482271773,0.1564446885148693
IAG20200098,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.881767786676838,0.20484382782998561
IAG20200098,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.7960506398771185,0.20850488768517703
IAG20200098,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,5.503838201874078,0.1537553624430341
IAG20200124,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.7134226845799505,0.21216005160570864
IAG20200124,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,1,4.4229754230710885,0.18440061442020872
IAG20200124,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,1,4.604797056561784,0.17841859212890782
IAG20200127,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,4.081333017386805,0.19679875272458988
IAG20200127,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,5.303083239929586,0.15865251368807423
IAG20200157,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Regular,0,1.6793188068626383,0.3732291944649002
IAG20200157,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Regular,0,2.988192026649219,0.2507401833507439
IAG20200157,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,4.678040126635129,0.17611710690614849
IAG20200157,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Regular,0,3.4476850837421993,0.22483606216981053
IAG20200167,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,4.365471114432483,0.18637692360510863
IAG20200171,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Regular,0,2.053128684406727,0.32753286984178215
IAG20200171,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,3.1878093759053585,0.23878832827337348
IAG20200171,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,1,4.233930971823449,0.19106098368194757
IAG20200194,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,4.537988070564973,0.18057099207474137
IAG20200194,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,3.4879222852652805,0.22282025766871988
IAG20200194,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,4.212503145257485,0.19184640702036496
IAG20200249,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,1,3.4915229877645637,0.2226416301829285
IAG20200249,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,5.412694392948545,0.1559406918096095
IAG20200267,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.9505461027813893,0.20199791684359128
IAG20200267,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.9748639843331928,0.20101052071960018
IAG20200267,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,4.238594606356811,0.19089089252803465
IAG20200290,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,1,4.566067121351633,0.17966006844652738
IAG20200290,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,1,4.802606626509421,0.17233634198662776
IAG20200369,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0,3.247732002473135,0.23541974856647618
IAG20200369,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,3.8685253061719824,0.2054010068987972
IAG20200369,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,5.728501746688593,0.1486214966789815
IAG20200376,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,1,4.218139975967016,0.19163916732890665
IAG20200376,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0,4.576859333245518,0.1793123943504665
IAG20200376,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,0,4.227875880888314,0.19128227654671887
IAG20210043,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Regular,0,3.309568725187883,0.23204178045829937
IAG20210043,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Regular,0,4.390809944650169,0.18550088210629617
IAG20210061,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Regular,0,3.443446281546103,0.22505054334808985
IAG20210083,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Irregular,1,10.08299334482417,0.09022833172294618
IAG20210108,Mayo-Agosto 2023,Ingeniería Agroindustrial,2021,Regular,0,2.6696073484009486,0.27250871961430845
IAG20210108,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Regular,0,2.534355574736177,0.28293701039818137
IAG20210133,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Regular,0,2.273897561287393,0.305446331560469
IAG20210133,Mayo-Agosto 2023,Ingeniería Agroindustrial,2021,Regular,0,4.175334312730181,0.19322423240180264
IAG20210133,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Regular,0,5.052000327166801,0.16523462424664848
IAG20210138,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Regular,0,1.7621001775329568,0.3620433495258585
IAG20210138,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Regular,0,1.7885078148265006,0.35861473820621853
IAG20210176,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Irregular,0,4.700079407224803,0.17543615247403543
IAG20210176,Mayo-Agosto 2023,Ingeniería Agroindustrial,2021,Irregular,0,4.00741842919769,0.19970370244457966
IAG20210176,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Irregular,1,5.058108068773166,0.16506803586990337
IAG20210176,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Irregular,1,5.128797175590493,0.16316415298955503
IAG20210196,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Regular,0,3.9748783079621552,0.20100994197175187
IAG20210196,Mayo-Agosto 2023,Ingeniería Agroindustrial,2021,Regular,0,3.6096689431462003,0.21693531842169084
IAG20210196,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Irregular,1,3.768458266574577,0.20971138764277167
IAG20210196,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Regular,0,4.166800676137078,0.19354336710113673
IAG20210215,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Irregular,1,5.427299025080556,0.15558635067355786
IAG20210238,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Regular,0,3.70258242180547,0.212649117081518
IAG20210238,Mayo-Agosto 2023,Ingeniería Agroindustrial,2021,Regular,0,3.2794807021424623,0.23367321168182015
IAG20210238,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Regular,0,3.1163222657273524,0.24293530376035813
IAG20210238,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Regular,0,4.845730125146269,0.17106503013171148
IAG20210315,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Irregular,0,3.158459494876158,0.24047366608527723
IAG20210315,Mayo-Agosto 2023,Ingeniería Agroindustrial,2021,Irregular,0,2.384331269584464,0.2954793489003759
IAG20210315,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Irregular,0,3.5681560271219683,0.21890670854121863
IAG20210316,Enero-Abril 2023,Ingeniería Agroindustrial,2021,Regular,0,2.4764854910349126,0.2876468210722521
IAG20210316,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Regular,0,2.213643589360509,0.3111732748804893
IAG20210339,Mayo-Agosto 2023,Ingeniería Agroindustrial,2021,Irregular,1,5.2616142086325075,0.15970322774299328
IAG20210339,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2021,Regular,0,3.243657225030722,0.23564579959512647
IAG20210339,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Irregular,1,5.613834065367912,0.15119822936537075
