component,promedio_general,promedio_periodo,porcentaje_avance,porcentaje_asistencia,retardos,num_asesorias,num_incidencias,recursamientos,rezago_materias,creditos_inscritos_periodo,creditos_aprobados_periodo,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
PC1,-0.24166610098114397,-0.26673236918730164,-0.07068077271929148,-0.2966981848065491,0.18653640290957704,0.26588094852110744,0.27159930062576737,0.276233201051969,0.06461761524199415,0.07076925012727961,-0.09037296253856401,0.05068030814620095,0.09168608033880135,0.31577966729721446,0.29526187569678963,-0.050129903199893036,-0.09315349352875224,0.1653392237251663,0.3218269306528657,-0.026968332657113004,0.3337334666648836,-0.06047957841773068,0.16844599396910778,0.13859838190623427,-0.03460072918966418
PC2,0.1513399289859244,0.09744019031894623,0.43210503942732414,0.015961356206100494,0.019176938583407493,0.015459696362600512,0.018023323552948143,0.08337080436871679,0.001294666791284594,0.345668274164791,0.43162365923732054,0.2719135968580873,0.025690577847801533,0.040948649112532695,0.06085125009570578,-0.2784755404608204,0.016676103709587213,0.131969367013315,0.03130332632428896,0.2670668494239888,0.025995196261052737,0.36658330811524575,-0.02750827112213198,0.00492281749493217,-0.28913436478341953
PC3,-0.16474520100451995,-0.1813414068520259,-0.019139859169994087,0.2635307619999526,-0.22349279086493207,0.142888416941775,-0.0680468299871213,0.21711805213732296,-0.5399849915404494,-0.006084015847235442,-0.05533237094020839,0.0977568447555937,-0.5240883315212981,0.16260249354470088,0.21400113291733103,-0.07975872322291493,-0.03175110406134205,0.08530351520528817,-0.10352589204647086,-0.03482844962781757,-0.12405446803772363,-0.057718253118315875,-0.19348895106456485,-0.08228964654406458,-0.08585965622527886
PC4,-0.10641385000301963,-0.07640857940636174,-0.048731389317586346,0.0040734147753861034,0.008272960807064194,0.02680190983702997,0.027235329819279484,-0.03867555657514328,-0.10739045296714014,0.3668875682094262,0.12473632056437427,-0.27283874525047386,-0.11448045444974911,0.04983241968350727,-0.029665386890451024,0.4917826223157107,-0.07702545428774918,0.08343016579995939,-0.00703378441298594,0.3434802335121271,0.0017020697392211934,0.33089975244195785,0.023565392507374237,0.02569778344455313,0.49125214941746836
PC5,0.14706539735374183,0.2765615673851087,0.16341580438750136,0.032456621966784865,-0.0456463804079504,-0.05121678180741759,0.06373442836483409,0.14691916471970526,-0.004728004344441561,0.3266447913559737,0.18416906751077924,0.08982772582691494,0.020840017958733394,0.06726816242048739,0.1392115929902389,0.24714331431262443,0.36766420972333197,0.21258407228731654,0.014140096455079501,-0.5009980085787303,0.02890515219086675,-0.3494883005589998,-0.045276407722254504,-0.01460452437451455,0.22986751346079654
PC6,0.1166711129137506,-0.12239506740568415,0.1168235845133131,0.07665157632902048,-0.0558478231799089,0.17642524135066087,-0.2600666583759007,-0.14476133705550875,0.12719338083058046,0.13900644439057025,0.06072161318654478,0.00039021075790907734,0.07523479704424692,0.11035415318206049,-0.1007763802676325,0.07070238640560586,-0.6161531168808565,0.14183964716978278,0.17279170650576678,-0.20301975595072388,0.018791028647680605,-0.15052609644866785,-0.03962692312432643,-0.5113087919769281,0.0034881915241056975
PC7,-0.27013829741815504,-0.0623668014518516,-0.09035882346537319,0.05263009801703464,-0.021728579190608558,0.026470728929701235,-0.3207034776222554,0.14601020640699497,0.22484691664663248,-0.08608931829333902,-0.1046394659381727,0.1813354053659803,0.20849841716827247,0.01068777109797047,0.18656331860326897,0.0838661932337583,0.46577486130112955,0.02346774393595766,0.11874213004973727,0.20829978425941761,-0.032263434651308334,0.134311832888153,-0.1775845911575153,-0.5221918851922949,0.0367031957600481
PC8,0.16555320935059137,0.1859052215389143,-0.2914004753000191,0.06657137433027151,-0.29369145153450626,0.10927253869898698,0.039517861326740754,-0.10402795699718494,0.0652958734650563,0.01990996093441517,0.028817403306825886,-0.5784681629681426,0.016951701535599842,0.14357053555031257,-0.033470233674024095,-0.20676751993482803,0.17079157230623798,0.40906170099670325,0.15649734244402905,0.07885233577385095,0.12352600517568633,0.0379446229803552,-0.19937776530690796,-0.011521142475482712,-0.22231730139346745
PC9,0.002626116606614506,-0.05345665293823285,0.05071389045401181,0.008035003754464715,-0.03499060663145943,-0.0947988968558759,-0.04589346747748898,0.019737565236191357,0.13440221212555586,-0.13707166994226944,-0.1445278523829925,0.2847074697157991,0.14561114550668403,-0.04744378564785851,-0.013685623137721948,0.1343961170797227,-0.20751339752113818,0.3581664872358789,0.018984989932958864,0.0628156986238394,-0.016958424603867366,0.006451448214697244,-0.6691380310639609,0.40770194336162885,0.10650178214057417
PC10,0.3052672826579356,0.25697517427135186,-0.04265334285111689,0.0945588794874115,-0.5061956190411476,0.05015831917226059,-0.06820519658428653,0.13696128397401228,0.049340778724037596,-0.1631205662504279,-0.24588420905586125,0.29951816686378957,0.045910686496685386,0.07808536749504746,0.14632795574133875,0.13374278893736002,-0.114587711536759,0.13163677357938364,0.0696039480220513,0.2181281561524646,0.003207831653356166,0.04738093211825503,0.4634865569784107,0.09580952173537773,0.10954425081418381
