validacion,detalle,n_registros,ari_vs_base,distribucion_clusters
semilla,seed=7,999,0.995279719878799,C0=811; C1=188
semilla,seed=13,999,0.995279719878799,C0=811; C1=188
semilla,seed=21,999,0.995279719878799,C0=188; C1=811
semilla,seed=42,999,0.995279719878799,C0=188; C1=811
semilla,seed=99,999,0.995279719878799,C0=811; C1=188
submuestra_80,seed=101,799,0.9401848283044818,C0=200; C1=799
submuestra_80,seed=202,799,0.8715447873569729,C0=839; C1=160
submuestra_80,seed=303,799,0.9136699651505508,C0=206; C1=793
submuestra_80,seed=404,799,0.9905360475807274,C0=185; C1=814
submuestra_80,seed=505,799,0.9193211288524753,C0=170; C1=829
periodo,Enero-Abril 2023,263,0.6812666289819662,C0=64; C1=199
periodo,Mayo-Agosto 2023,196,0.7864572570090239,C0=49; C1=147
periodo,Septiembre-Diciembre 2022,270,0.25005566221766456,C0=173; C1=97
periodo,Septiembre-Diciembre 2023,270,0.8008928479778327,C0=57; C1=213
