component,promedio_general,promedio_periodo,porcentaje_avance,porcentaje_asistencia,retardos,num_asesorias,num_incidencias,recursamientos,rezago_materias,creditos_inscritos_periodo,creditos_aprobados_periodo,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
PC1,0.22029761183071864,0.2589517719456574,-0.00842202323360516,0.28151282415397766,-0.09349835025177372,-0.2212087747903836,-0.06394429541289515,-0.2045290024558968,-0.27593297410761963,0.2591226843960837,0.3476955341167556,-0.05504203073673197,-0.2305184026623881,-0.2853302846735433,-0.28592500338138316,0.26275230975569736,0.16160263391556876,-0.07677210906757606,-0.1830735390370438,0.06198589371826938,-0.14143804939701635,0.07362521139732775,-0.10134538973927258,-0.028619572141432948,-0.20751872283788494
PC2,-0.23822017932351539,-0.2809062933909581,0.035862796609251825,0.1806937226416786,0.008220330445267446,0.19726741216276064,0.02991981686163483,0.2479894497010512,0.02111319623760781,0.3802169165628652,0.2551819548126142,0.07565725374139927,-0.26405887100001835,0.2356319616831825,0.2891651058951184,0.3815375600089954,-0.15037620487382874,0.10550731611625225,0.06289619091510217,-0.1486969464187307,0.060965990200691406,-0.11495106565915125,0.05304187697746973,-0.020241211349982753,-0.28067029880061783
PC3,-0.12928102125021512,-0.1878798714199446,-0.6538900889088474,-0.012664175266196369,0.027081040672569237,0.03693280866519762,-0.014378900040443994,-0.1513612551605021,-0.0777915831631271,0.03413128628537192,0.003887605248315004,-0.6391886531737587,-0.0006554761105777397,0.06370225306093838,-0.1772666729815949,0.03285952438046253,-0.1410707559921098,0.08109050916388473,0.040045217718216376,0.01042689689248154,0.052603557799841834,0.022236632816058078,0.09756899321443258,-0.037173069848458584,0.018250391096919536
PC4,0.2068326908091282,0.01614021348771008,0.010585581490185424,-0.1485221581029941,0.14243362535356563,0.15454763865893517,0.16379862551855626,0.15581034733748436,-0.1113814248625097,0.0418776696304973,-0.06720334335949556,-0.032049784784233586,-0.051500369819944464,0.25856196115666974,0.08727617862280587,0.05044115912839866,-0.21564871045639333,-0.19047181815040098,-0.33126760819866674,0.4625541388190198,-0.27166863457292534,0.44250213712759945,0.21665695303874855,0.08835285873522036,-0.0964454959127283
PC5,0.08739790335409342,-0.09581053430636181,0.007227217955542168,-0.062386878121063624,0.02005054044671638,-0.015565397017763759,-0.17407631265294726,0.010331728727700863,-0.1151835767970848,-0.09334123699199183,-0.12145054498193035,-0.0003889763348624788,-0.06042615717743454,0.04624730626264754,-0.032782509914983,-0.0826647645545983,-0.2327584583742442,-0.06992279985604626,-0.4544183544325161,-0.4221454123564093,-0.4903832070640568,-0.42688217656217636,0.10748803524897596,-0.139712698428241,-0.014476687103663849
PC6,0.2020005589541475,0.05561166938852143,0.05743829728525153,-0.2518988720648808,0.25290659311653463,-0.07221942625339454,0.5755690368772824,-0.1490926083333756,-0.056671859735935214,0.1051223265606092,0.10635289746623221,0.013915199482026215,-0.015715369203392865,-0.018232843825093947,-0.15354649973574416,0.09472698324807068,-0.1687775122631802,-0.12967570587213956,0.028882416833660253,-0.2270257501335132,0.2476353880990242,-0.2597171639584292,0.18186320754202218,0.3819694553760255,0.04838787768019531
PC7,0.11187959857464826,-0.23700945318920769,0.15385310878718605,0.0656465923201275,-0.27750535862210857,-0.15276237284041297,-0.18408301676530273,-0.19647623496947028,-0.030459630942179076,-0.05306386400722535,-0.008673311635899796,0.15242312682947246,-0.056287759449348204,-0.11988006297379276,-0.14588299233767524,-0.03664632933050359,-0.4964841955432332,-0.17308279914971117,0.22042714950331874,0.07745331873418,0.2338999789014339,0.0841339778456184,0.45163083341440724,-0.2496847953717507,-0.06431372399105498
PC8,-0.20839898158475498,-0.22731995031884125,0.014450230026673764,0.1492985002131746,-0.5243301527156456,-0.05921720883187533,0.20034942539641473,0.11926589908690494,-0.2688180032014477,-0.15529272855904863,-0.10326781744192805,0.0519509996564796,-0.16542399939658947,-0.11977188328921562,-0.062301252113627345,-0.13579610257220814,-0.10374117225336947,0.21802588400767015,-0.1329552659178626,0.03184876145166206,-0.06302962402153034,0.06805904964213307,-0.09336970603261663,0.5269956844765842,0.06158737784202927
PC9,-0.11807962762074814,-0.22616089929240116,-0.008863221823846133,0.08744671156127748,-0.10942118965290006,-0.056108752324630556,-0.014450994386682571,-0.27754562480882744,0.48196774787697155,0.13541574686267416,0.14185908514986798,0.01045278493571187,0.2649009833253064,-0.01760925503480528,0.012629847008699109,0.10108707941868313,-0.21493818080098753,-0.4447820353158026,-0.10008453933620837,0.037956302373144506,-0.17934275844077502,0.047944560939875196,-0.373290871139473,0.21329302709457262,0.09114535769726326
PC10,0.21805349384062456,0.17870947128679537,0.03263832870813137,-0.06974983483625195,-0.2747157664364965,0.22235281701901927,-0.12841330425076997,-0.22690682721205477,0.3246811426493469,0.1587955366547606,0.1480639256911114,0.010693589714473635,0.2568195648986731,0.06203809803652687,-0.007089721614104633,0.13246089697063743,-0.0006352671901685641,0.5537551086716834,-0.09566529383663679,-0.017828425373632346,-0.12237707229475829,0.011717429664252363,0.32754734933923324,0.17987435323194836,0.10371331827574026
