document_id,descriptor_hash
IAG20200007::Mayo-Agosto 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200007::Septiembre-Diciembre 2022,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200007::Septiembre-Diciembre 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200029::Enero-Abril 2023,0e1c1649e38b22d14392826d1d59b3c3df68bb84a91634a9b8f9bc380a21f06d
IAG20200029::Septiembre-Diciembre 2022,85142e079acaa7daa4fab5501f1b590aed0ca4fc6ffecce0b4f8e972dfa45235
IAG20200039::Enero-Abril 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200039::Mayo-Agosto 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200039::Septiembre-Diciembre 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200051::Enero-Abril 2023,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200051::Mayo-Agosto 2023,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200051::Septiembre-Diciembre 2022,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200051::Septiembre-Diciembre 2023,85142e079acaa7daa4fab5501f1b590aed0ca4fc6ffecce0b4f8e972dfa45235
IAG20200084::Enero-Abril 2023,1e73030b884626f189ff79a3f83d8b26cf0a15ea58c24e61d977a6a266f7a432
IAG20200084::Septiembre-Diciembre 2022,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200095::Septiembre-Diciembre 2022,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200095::Septiembre-Diciembre 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200097::Enero-Abril 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200097::Mayo-Agosto 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200097::Septiembre-Diciembre 2022,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200097::Septiembre-Diciembre 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200098::Enero-Abril 2023,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200098::Mayo-Agosto 2023,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200098::Septiembre-Diciembre 2023,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200124::Enero-Abril 2023,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200124::Mayo-Agosto 2023,85142e079acaa7daa4fab5501f1b590aed0ca4fc6ffecce0b4f8e972dfa45235
IAG20200124::Septiembre-Diciembre 2023,1e73030b884626f189ff79a3f83d8b26cf0a15ea58c24e61d977a6a266f7a432
IAG20200127::Mayo-Agosto 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200127::Septiembre-Diciembre 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200157::Enero-Abril 2023,dd186dc71c1b24d0bb0cad1dbec8e9a26f1020a3108fec0b9c754aa866337b03
IAG20200157::Mayo-Agosto 2023,dd186dc71c1b24d0bb0cad1dbec8e9a26f1020a3108fec0b9c754aa866337b03
IAG20200157::Septiembre-Diciembre 2022,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200157::Septiembre-Diciembre 2023,dd186dc71c1b24d0bb0cad1dbec8e9a26f1020a3108fec0b9c754aa866337b03
IAG20200167::Enero-Abril 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200171::Enero-Abril 2023,dd186dc71c1b24d0bb0cad1dbec8e9a26f1020a3108fec0b9c754aa866337b03
IAG20200171::Septiembre-Diciembre 2022,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200171::Septiembre-Diciembre 2023,fa52aceb6b863121f373a7276cedb56777a3b9a442ea621cf96f68bb22fffddc
IAG20200194::Enero-Abril 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200194::Septiembre-Diciembre 2022,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200194::Septiembre-Diciembre 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200249::Mayo-Agosto 2023,387511ea290af69036d0ffc5987df7c2f6526a226cfcfe424944e870e8af0176
IAG20200249::Septiembre-Diciembre 2022,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200267::Enero-Abril 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200267::Mayo-Agosto 2023,c5257701a41be7a5b7934416efd0525319ab01297c01fcc7b3f6e06c5fcbf691
IAG20200267::Septiembre-Diciembre 2022,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
IAG20200290::Enero-Abril 2023,1e73030b884626f189ff79a3f83d8b26cf0a15ea58c24e61d977a6a266f7a432
IAG20200290::Mayo-Agosto 2023,5e9e39f3f5e872fd7263248ad8ba350da4e2844d9e5d3a1b482987635a82a7e5
IAG20200369::Enero-Abril 2023,cd77bf72fa23ffedc22d5bf719427ead07504d24d7653ca6517389b56293bf73
