id_estudiante,id_periodo,programa,cohorte,estatus_academico,promedio_general,promedio_periodo,porcentaje_avance,porcentaje_asistencia,retardos,num_asesorias,num_incidencias,recursamientos,rezago_materias,creditos_inscritos_periodo,creditos_aprobados_periodo,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
IAG20200007,2022-1,Ingeniería Agroindustrial,2020,Regular,83.1,83.1,5.07,74.59,3,2,0,0,2,14.0,14.0,1,4,0,0,0,0.0,1.69,0,2,0,2,2,0,0
IAG20200007,2023-1,Ingeniería Agroindustrial,2020,Regular,85.77,91.1,6.88,80.42,0,2,0,0,2,5.0,5.0,2,5,0,0,0,8.0,3.88,0,0,0,0,2,0,0
IAG20200007,2025-1,Ingeniería Agroindustrial,2020,Irregular,85.55,84.9,9.06,65.56,1,2,0,0,4,6.0,6.0,3,8,0,0,0,-0.87,8.79,1,0,1,0,1,1,0
IAG20200029,2022-1,Ingeniería Agroindustrial,2020,Irregular,66.9,66.9,1.45,56.99,2,2,2,0,3,14.0,4.0,1,4,1,1,1,0.0,68.89,2,1,3,1,2,2,1
IAG20200029,2022-2,Ingeniería Agroindustrial,2020,Irregular,77.04,83.8,6.52,75.76,1,1,0,0,3,14.0,14.0,2,4,0,1,0,16.9,15.45,1,1,1,2,0,1,0
IAG20200039,2022-2,Ingeniería Agroindustrial,2020,Regular,87.4,87.4,7.97,74.71,1,0,0,0,2,22.0,22.0,1,5,0,0,0,0.0,29.04,0,3,0,4,0,1,0
IAG20200039,2023-1,Ingeniería Agroindustrial,2020,Regular,87.55,88.0,10.87,76.36,1,1,0,0,2,8.0,8.0,2,5,0,0,0,0.6,7.41,0,0,0,0,2,0,0
IAG20200039,2024-1,Ingeniería Agroindustrial,2020,Irregular,87.34,86.5,13.04,72.42,0,0,0,0,3,6.0,6.0,3,6,0,0,0,-1.05,6.02,1,0,1,0,2,0,0
IAG20200039,2025-1,Ingeniería Agroindustrial,2020,Irregular,87.89,88.57,19.93,74.82,2,0,0,0,3,19.0,19.0,4,7,0,0,0,1.23,14.45,1,3,1,4,1,0,0
IAG20200051,2022-1,Ingeniería Agroindustrial,2020,Regular,70.0,,0.0,75.31,2,1,0,0,2,6.0,0.0,1,4,0,0,1,,2.91,0,2,0,2,3,1,1
IAG20200051,2022-2,Ingeniería Agroindustrial,2020,Regular,73.6,73.6,2.17,70.43,3,0,0,0,2,6.0,6.0,2,4,0,0,0,0.0,9.57,0,1,0,1,1,1,0
IAG20200051,2023-1,Ingeniería Agroindustrial,2020,Regular,74.15,74.7,3.62,68.17,1,2,0,0,2,4.0,4.0,3,4,0,0,0,1.1,4.97,0,2,0,2,2,1,0
IAG20200051,2023-2,Ingeniería Agroindustrial,2020,Irregular,71.05,67.95,3.62,55.34,3,2,2,1,3,12.0,0.0,4,4,2,2,0,-6.2,1.1,3,1,3,1,3,2,0
IAG20200051,2024-2,Ingeniería Agroindustrial,2020,Irregular,74.28,87.2,5.8,78.05,2,0,0,1,3,6.0,6.0,5,5,0,2,0,16.15,8.84,1,0,1,0,0,0,0
IAG20200084,2022-1,Ingeniería Agroindustrial,2020,Regular,88.7,88.7,2.17,77.83,0,1,0,0,2,12.0,6.0,1,4,0,0,1,0.0,3.45,0,1,0,1,2,1,1
IAG20200084,2022-2,Ingeniería Agroindustrial,2020,Irregular,79.17,74.4,4.35,59.86,3,1,2,0,3,10.0,6.0,2,4,1,1,0,-14.3,68.89,2,0,3,0,2,1,0
IAG20200095,2022-1,Ingeniería Agroindustrial,2020,Regular,89.7,89.7,2.17,75.61,2,1,0,0,2,18.0,6.0,1,4,0,0,2,0.0,6.11,0,1,0,1,2,1,1
IAG20200095,2023-2,Ingeniería Agroindustrial,2020,Irregular,89.8,89.85,6.16,74.12,3,1,0,0,3,11.0,11.0,2,6,0,0,0,0.15,2.72,1,2,1,2,3,1,0
IAG20200095,2024-1,Ingeniería Agroindustrial,2020,Irregular,90.17,91.3,8.33,74.39,3,0,0,0,3,6.0,6.0,3,6,0,0,0,1.5,3.82,1,0,1,0,2,0,0
IAG20200097,2022-1,Ingeniería Agroindustrial,2020,Regular,70.0,,0.0,70.86,2,0,0,0,2,6.0,0.0,1,4,0,0,1,,8.03,0,2,0,2,1,0,1
IAG20200097,2022-2,Ingeniería Agroindustrial,2020,Regular,80.6,80.6,2.17,71.46,2,2,0,0,2,6.0,6.0,2,4,0,0,0,0.0,9.57,0,2,0,2,1,0,0
IAG20200097,2023-1,Ingeniería Agroindustrial,2020,Regular,84.1,87.6,3.62,78.98,1,1,0,0,2,4.0,4.0,3,4,0,0,0,7.0,9.29,0,1,0,1,2,0,0
IAG20200097,2023-2,Ingeniería Agroindustrial,2020,Regular,81.5,76.3,5.8,74.98,2,1,0,0,2,6.0,6.0,4,4,0,0,0,-7.8,5.28,0,1,0,1,1,0,0
IAG20200097,2024-1,Ingeniería Agroindustrial,2020,Regular,81.38,81.2,9.78,76.26,0,0,0,0,2,11.0,11.0,5,4,0,0,0,-0.3,90.25,0,1,0,2,1,0,0
IAG20200097,2024-2,Ingeniería Agroindustrial,2020,Regular,80.92,78.6,11.96,71.29,3,0,0,0,2,6.0,6.0,6,4,0,0,0,-2.78,4.54,0,0,0,0,3,0,0
IAG20200098,2022-2,Ingeniería Agroindustrial,2020,Regular,74.8,74.8,3.99,75.76,0,2,0,0,2,18.0,11.0,1,5,0,0,1,0.0,5.76,0,2,0,2,2,0,1
IAG20200098,2023-1,Ingeniería Agroindustrial,2020,Regular,75.97,78.3,6.52,69.36,2,0,0,0,2,7.0,7.0,2,5,0,0,0,3.5,3.36,0,0,0,0,3,1,0
IAG20200098,2023-2,Ingeniería Agroindustrial,2020,Regular,76.16,76.45,11.59,73.07,2,0,0,0,2,14.0,14.0,3,5,0,0,0,0.48,8.12,0,1,0,2,2,0,0
IAG20200098,2024-1,Ingeniería Agroindustrial,2020,Regular,77.7,80.27,16.67,76.73,0,0,0,0,2,14.0,14.0,4,5,0,0,0,4.11,35.31,0,2,0,3,2,0,0
