id_estudiante,id_periodo,programa,cohorte,promedio_general,promedio_periodo,materias_aprobadas,materias_reprobadas,materias_en_curso,creditos_acumulados,porcentaje_avance,porcentaje_asistencia,faltas,retardos,num_tutorias,num_asesorias,num_incidencias,num_permisos,recursamientos,rezago_materias,estatus_academico,creditos_inscritos_periodo,creditos_aprobados_periodo,creditos_totales_plan,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
IAG20200007,2022-1,Ingeniería Agroindustrial,2020,83.1,83.1,2,0,0,14.0,5.07,74.59,9,3,2,2,0,2,0,2,Regular,14.0,14.0,276,1,4,0,0,0,0.0,1.69,0,2,0,2,2,0,0
IAG20200007,2023-1,Ingeniería Agroindustrial,2020,85.77,91.1,3,0,0,19.0,6.88,80.42,5,0,0,2,0,2,0,2,Regular,5.0,5.0,276,2,5,0,0,0,8.0,3.88,0,0,0,0,2,0,0
IAG20200007,2025-1,Ingeniería Agroindustrial,2020,85.55,84.9,4,0,0,25.0,9.06,65.56,13,1,1,2,0,2,0,4,Irregular,6.0,6.0,276,3,8,0,0,0,-0.87,8.79,1,0,1,0,1,1,0
IAG20200029,2022-1,Ingeniería Agroindustrial,2020,66.9,66.9,1,1,1,4.0,1.45,56.99,14,2,3,2,2,4,0,3,Irregular,14.0,4.0,276,1,4,1,1,1,0.0,68.89,2,1,3,1,2,2,1
IAG20200029,2022-2,Ingeniería Agroindustrial,2020,77.04,83.8,4,1,0,18.0,6.52,75.76,8,1,2,1,0,1,0,3,Irregular,14.0,14.0,276,2,4,0,1,0,16.9,15.45,1,1,1,2,0,1,0
IAG20200039,2022-2,Ingeniería Agroindustrial,2020,87.4,87.4,3,0,0,22.0,7.97,74.71,8,1,3,0,0,1,0,2,Regular,22.0,22.0,276,1,5,0,0,0,0.0,29.04,0,3,0,4,0,1,0
IAG20200039,2023-1,Ingeniería Agroindustrial,2020,87.55,88.0,4,0,0,30.0,10.87,76.36,9,1,0,1,0,2,0,2,Regular,8.0,8.0,276,2,5,0,0,0,0.6,7.41,0,0,0,0,2,0,0
IAG20200039,2024-1,Ingeniería Agroindustrial,2020,87.34,86.5,5,0,0,36.0,13.04,72.42,8,0,1,0,0,2,0,3,Irregular,6.0,6.0,276,3,6,0,0,0,-1.05,6.02,1,0,1,0,2,0,0
IAG20200039,2025-1,Ingeniería Agroindustrial,2020,87.89,88.57,9,0,0,55.0,19.93,74.82,10,2,4,0,0,1,0,3,Irregular,19.0,19.0,276,4,7,0,0,0,1.23,14.45,1,3,1,4,1,0,0
IAG20200051,2022-1,Ingeniería Agroindustrial,2020,70.0,,0,0,1,0.0,0.0,75.31,9,2,2,1,0,4,0,2,Regular,6.0,0.0,276,1,4,0,0,1,,2.91,0,2,0,2,3,1,1
IAG20200051,2022-2,Ingeniería Agroindustrial,2020,73.6,73.6,1,0,0,6.0,2.17,70.43,8,3,1,0,0,2,0,2,Regular,6.0,6.0,276,2,4,0,0,0,0.0,9.57,0,1,0,1,1,1,0
IAG20200051,2023-1,Ingeniería Agroindustrial,2020,74.15,74.7,2,0,0,10.0,3.62,68.17,9,1,2,2,0,3,0,2,Regular,4.0,4.0,276,3,4,0,0,0,1.1,4.97,0,2,0,2,2,1,0
IAG20200051,2023-2,Ingeniería Agroindustrial,2020,71.05,67.95,2,2,0,10.0,3.62,55.34,14,3,4,2,2,5,1,3,Irregular,12.0,0.0,276,4,4,2,2,0,-6.2,1.1,3,1,3,1,3,2,0
IAG20200051,2024-2,Ingeniería Agroindustrial,2020,74.28,87.2,3,2,0,16.0,5.8,78.05,6,2,1,0,0,0,1,3,Irregular,6.0,6.0,276,5,5,0,2,0,16.15,8.84,1,0,1,0,0,0,0
IAG20200084,2022-1,Ingeniería Agroindustrial,2020,88.7,88.7,1,0,1,6.0,2.17,77.83,8,0,1,1,0,3,0,2,Regular,12.0,6.0,276,1,4,0,0,1,0.0,3.45,0,1,0,1,2,1,1
IAG20200084,2022-2,Ingeniería Agroindustrial,2020,79.17,74.4,2,1,0,12.0,4.35,59.86,13,3,2,1,2,3,0,3,Irregular,10.0,6.0,276,2,4,1,1,0,-14.3,68.89,2,0,3,0,2,1,0
