id_estudiante,id_periodo,programa,cohorte,promedio_general,promedio_periodo,materias_aprobadas,materias_reprobadas,materias_en_curso,creditos_acumulados,porcentaje_avance,porcentaje_asistencia,faltas,retardos,num_tutorias,num_asesorias,num_incidencias,num_permisos,recursamientos,rezago_materias,estatus_academico,creditos_inscritos_periodo,creditos_aprobados_periodo,creditos_totales_plan,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto,student_profile_id,program_id,sexo
IAG20200007,2022-1,Ingeniería Agroindustrial,2020,83.1,83.1,2,0,0,14.0,5.07,70.19,10,3,3,2,0,2,0,3,Irregular,14.0,14.0,276,1,6,0,0,0,0.0,1.69,1,2,1,2,2,0,0,1e0effd4-378f-45ea-a212-8f790eaa76a7,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200007,2023-1,Ingeniería Agroindustrial,2020,85.77,91.1,3,0,0,19.0,6.88,72.82,8,0,1,2,0,2,0,4,Irregular,5.0,5.0,276,2,8,0,0,0,8.0,3.88,1,0,1,0,2,0,0,1e0effd4-378f-45ea-a212-8f790eaa76a7,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200007,2025-1,Ingeniería Agroindustrial,2020,85.55,84.9,4,0,0,25.0,9.06,65.56,13,1,1,2,0,2,0,4,Irregular,6.0,6.0,276,3,8,0,0,0,-0.87,8.79,1,0,1,0,1,1,0,1e0effd4-378f-45ea-a212-8f790eaa76a7,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200029,2022-1,Ingeniería Agroindustrial,2020,66.9,66.9,1,1,1,4.0,1.45,52.59,15,2,3,2,2,4,0,4,Irregular,14.0,4.0,276,1,6,1,1,1,0.0,68.89,2,1,3,1,2,2,1,12f3d3a7-3811-4f27-a821-a5831d49a1ba,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200029,2022-2,Ingeniería Agroindustrial,2020,77.04,83.8,4,1,0,18.0,6.52,71.36,9,2,2,1,0,2,0,4,Irregular,14.0,14.0,276,2,6,0,1,0,16.9,15.45,1,1,1,2,1,1,0,12f3d3a7-3811-4f27-a821-a5831d49a1ba,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200039,2022-2,Ingeniería Agroindustrial,2020,87.4,87.4,3,0,0,22.0,7.97,70.31,9,2,4,0,0,2,0,3,Irregular,22.0,22.0,276,1,7,0,0,0,0.0,29.04,1,3,1,4,1,1,0,34343587-9f2b-4c2a-b1eb-c478cc2fb64b,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200039,2023-1,Ingeniería Agroindustrial,2020,87.55,88.0,4,0,0,30.0,10.87,68.76,11,2,1,1,0,2,0,4,Irregular,8.0,8.0,276,2,8,0,0,0,0.6,7.41,1,0,1,0,2,0,0,34343587-9f2b-4c2a-b1eb-c478cc2fb64b,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200039,2024-1,Ingeniería Agroindustrial,2020,87.34,86.5,5,0,0,36.0,13.04,68.02,10,1,1,0,0,3,0,4,Irregular,6.0,6.0,276,3,8,0,0,0,-1.05,6.02,1,0,1,0,3,0,0,34343587-9f2b-4c2a-b1eb-c478cc2fb64b,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200039,2025-1,Ingeniería Agroindustrial,2020,87.89,88.57,9,0,0,55.0,19.93,71.62,11,2,4,0,0,1,0,4,Irregular,19.0,19.0,276,4,8,0,0,0,1.23,14.45,1,3,1,4,1,0,0,34343587-9f2b-4c2a-b1eb-c478cc2fb64b,844ebae3-2210-4f59-81a8-ad42018438f6,
IAG20200051,2022-1,Ingeniería Agroindustrial,2020,70.0,,0,0,1,0.0,0.0,70.91,11,2,3,1,0,4,0,3,Irregular,6.0,0.0,276,1,6,0,0,1,,2.91,1,2,1,2,3,1,1,ecdaa64d-f09b-44b2-a012-1576055ac516,844ebae3-2210-4f59-81a8-ad42018438f6,
