Matricula,Carrera,EstatusAlumno,CuatrimestreActual,Materia,Periodo,EstatusMateria,Final,Extr,EstatusCardex,PeriodoCursado,PlanEstudiosClave,Credito
IDS20200001,Ingeniería en Desarrollo de Software,Activo,8,Estadía Profesional I,2022-1,Aprobada,70.9,,Ordinario,2022-1,IDS-2020,8
IDS20200001,Ingeniería en Desarrollo de Software,Activo,8,Sistemas Operativos,2024-1,Aprobada,79.6,,Ordinario,2024-1,IDS-2020,6
IDS20200001,Ingeniería en Desarrollo de Software,Activo,8,DevOps,2022-2,Aprobada,70.1,,Ordinario,2022-2,IDS-2020,5
IDS20200001,Ingeniería en Desarrollo de Software,Activo,8,Minería de Datos,2023-1,Aprobada,76.5,,Ordinario,2023-1,IDS-2020,6
IDS20200001,Ingeniería en Desarrollo de Software,Activo,8,Cálculo Integral,2024-2,Aprobada,79.0,,Ordinario,2024-2,IDS-2020,6
IAG20230002,Ingeniería Agroindustrial,Activo,5,Procesos Agroindustriales,2022-1,Aprobada,66.7,75.3,Extraordinario,2022-1,IAG-2020,7
IAG20230002,Ingeniería Agroindustrial,Activo,5,Biología,2024-1,Aprobada,59.6,72.4,Extraordinario,2024-1,IAG-2020,6
IAG20230002,Ingeniería Agroindustrial,Activo,5,Tecnología de Lácteos,2022-2,Cursando,,,En curso,2022-2,IAG-2020,6
IAG20230002,Ingeniería Agroindustrial,Activo,5,Operaciones Unitarias I,2023-1,Reprobada,63.1,,Sin derecho,2023-1,IAG-2020,7
IAG20230002,Ingeniería Agroindustrial,Activo,5,Inglés II,2023-2,Reprobada,58.4,69.7,Extraordinario no acreditado,2023-2,IAG-2020,4
IAG20230002,Ingeniería Agroindustrial,Activo,5,Bioquímica,2023-1,Aprobada,58.8,77.9,Extraordinario,2023-1,IAG-2020,6
IBM20240003,Ingeniería Biomédica,Activo,3,Electrónica Analógica,2022-2,Aprobada,93.8,,Ordinario,2022-2,IBM-2020,6
IBM20240003,Ingeniería Biomédica,Activo,3,Biología Celular,2023-1,Aprobada,84.0,,Ordinario,2023-1,IBM-2020,6
IBM20240003,Ingeniería Biomédica,Activo,3,Inglés III,2022-1,Cursando,,,En curso,2022-1,IBM-2020,4
IBM20210004,Ingeniería Biomédica,Activo,8,Física Médica,2024-1,Aprobada,95.3,,Ordinario,2024-1,IBM-2020,6
IBM20210004,Ingeniería Biomédica,Activo,8,Bioinstrumentación II,2024-2,Aprobada,90.2,,Ordinario,2024-2,IBM-2020,7
IBM20210004,Ingeniería Biomédica,Activo,8,Cálculo Diferencial,2025-1,Aprobada,86.6,,Ordinario,2025-1,IBM-2020,6
IBM20210004,Ingeniería Biomédica,Activo,8,Probabilidad y Estadística,2025-1,Aprobada,80.9,,Ordinario,2025-1,IBM-2020,5
IBM20210004,Ingeniería Biomédica,Activo,8,Inglés II,2025-1,Aprobada,85.7,,Ordinario,2025-1,IBM-2020,4
IBM20210004,Ingeniería Biomédica,Activo,8,Gestión de Tecnología Médica,2022-1,Aprobada,87.8,,Ordinario,2022-1,IBM-2020,5
IBM20210004,Ingeniería Biomédica,Activo,8,Bioética,2022-1,Cursando,,,En curso,2022-1,IBM-2020,4
IBM20210004,Ingeniería Biomédica,Activo,8,Anatomía y Fisiología II,2025-1,Aprobada,88.7,,Ordinario,2025-1,IBM-2020,7
