id_estudiante,id_periodo,programa,cohorte,promedio_general,promedio_periodo,materias_aprobadas,materias_reprobadas,materias_en_curso,creditos_acumulados,porcentaje_avance,porcentaje_asistencia,faltas,retardos,num_tutorias,num_asesorias,num_incidencias,num_permisos,recursamientos,rezago_materias,estatus_academico
2efd0cb4-d405-4917-b521-49c95832f8f4,2024-1,Ingeniería en Energía,2022,44.57,17.41,16,4,6,96,32.0,34.97,26,1,0,0,2,0,5,3,Baja Temporal
c49253b4-8e73-4751-8f3b-554c057d4838,2024-1,Ingeniería en Energía,2020,52.46,45.05,17,5,6,102,34.0,42.12,22,0,0,0,5,0,2,8,Baja Temporal
6d68fab8-02ef-4dfd-8a23-2f8eba84d33b,2023-1,Ingeniería Agroindustrial,2022,75.8,77.35,35,2,6,210,70.0,80.73,4,2,2,1,0,2,1,1,Irregular
669b034d-d31c-4120-9760-0b4aebf21338,2023-2,Ingeniería Agroindustrial,2022,61.32,70.24,23,4,7,138,46.0,77.48,10,5,3,4,1,1,1,1,Irregular
63e928e4-ddfa-4f29-9c6c-947ec59ad750,2023-1,Ingeniería en Energía,2020,80.89,75.56,21,0,7,126,42.0,85.15,3,3,2,1,1,0,0,0,Regular
81c1e3ac-fbad-4338-90e5-2c4d420f40dd,2023-1,Ingeniería Agroindustrial,2020,64.95,50.49,23,5,6,138,46.0,77.75,12,5,4,4,1,1,3,4,Irregular
1579be63-44d4-4760-8cd3-660b98ac1a3f,2024-1,Ingeniería Biomédica,2021,82.56,77.79,31,2,7,186,62.0,91.43,6,3,1,1,1,2,0,1,Irregular
306acaa1-faa7-402d-a86e-79a7c332d65a,2023-2,Ingeniería en Desarrollo de Software,2021,98.18,99.9,25,0,7,150,50.0,98.34,2,0,1,0,0,0,0,0,Regular
ce53efea-b51c-4571-a140-2d321531e654,2023-1,Ingeniería Biomédica,2021,92.02,98.89,29,0,4,174,58.0,98.36,1,0,0,0,0,0,0,0,Regular
fba56c5d-2942-4693-92bb-6e5dd3ca47e0,2023-2,Ingeniería en Desarrollo de Software,2021,56.51,13.77,20,4,7,120,40.0,59.3,15,1,2,0,4,0,3,6,Baja Temporal
c1b2e080-7edf-41c3-a27d-034236b1bb47,2023-2,Ingeniería Agroindustrial,2021,89.97,91.93,37,0,7,222,74.0,43.64,20,1,4,0,6,0,0,0,Regular
1352662b-f29e-4dcb-bff8-6c4296ea67f5,2023-2,Ingeniería Biomédica,2023,40.24,8.7,30,6,4,180,60.0,38.49,24,5,1,0,3,0,2,6,Baja Temporal
f9064d29-7ab2-4499-850e-cf2c69c3c4c1,2023-2,Ingeniería Agroindustrial,2023,74.79,55.79,32,3,6,192,64.0,79.21,8,6,5,3,3,0,1,1,Irregular
b8139327-96d9-47b6-bf86-6839d8a788e3,2024-1,Ingeniería en Desarrollo de Software,2022,94.17,92.02,23,0,6,138,46.0,42.12,15,0,4,0,5,1,0,0,Regular
7357d6c9-f26c-4a12-adab-a6a6d686428f,2023-1,Ingeniería Agroindustrial,2023,89.72,79.44,19,2,4,114,38.0,90.75,4,3,2,1,0,2,0,1,Irregular
6e631097-8716-49d5-9aba-bd5b99a2b1cc,2023-1,Ingeniería en Energía,2023,81.96,78.81,26,2,4,156,52.0,86.92,2,4,3,1,0,2,0,1,Irregular
defb1711-222f-4aa5-bf0d-d24e303a680c,2023-1,Ingeniería Biomédica,2023,88.37,94.3,25,1,4,150,50.0,86.14,4,4,3,1,0,0,1,0,Irregular
fe4e67bb-d9b2-49b7-8e1e-091386e206bd,2023-2,Ingeniería Agroindustrial,2020,71.99,57.11,25,3,4,150,50.0,62.05,10,5,3,3,1,2,1,2,Irregular
34eb9102-cce6-4575-b7a0-a6c1aacc531d,2023-1,Ingeniería en Energía,2022,85.13,94.28,36,1,4,216,72.0,84.01,5,1,1,1,0,0,0,1,Irregular
ffb1a171-9439-414a-8b7a-db4405e15987,2024-1,Ingeniería Agroindustrial,2023,41.22,35.47,13,7,4,78,26.0,21.59,18,2,1,0,3,0,2,6,Irregular
6034bee7-4830-4365-b5a6-29e3430d44cf,2023-2,Ingeniería Agroindustrial,2021,83.43,88.73,23,2,6,138,46.0,89.07,2,1,2,1,1,1,1,1,Irregular
ed8dd71e-eb92-49f0-ac77-afc963480920,2023-1,Ingeniería en Desarrollo de Software,2021,92.03,90.52,21,0,7,126,42.0,98.62,2,0,1,0,0,0,0,0,Regular
1a50ec06-2e4a-4a56-94cf-d8036f086791,2023-1,Ingeniería Biomédica,2023,51.28,42.47,15,8,6,90,30.0,49.22,19,3,0,0,4,0,5,8,Irregular
