id_estudiante,id_periodo,programa,cohorte,promedio_general,promedio_periodo,materias_aprobadas,materias_reprobadas,materias_en_curso,creditos_acumulados,porcentaje_avance,porcentaje_asistencia,faltas,retardos,num_tutorias,num_asesorias,num_incidencias,num_permisos,recursamientos,rezago_materias,estatus_academico,creditos_inscritos_periodo,creditos_aprobados_periodo,creditos_totales_plan,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
a7051ac3-d294-5173-9183-bc85d8d35765,2024-1,Ingenieria en Energia,2024,56.4,56.88,4,1,7,29,10.98,49.72,14,7,1,1,1,0,1,1,Regular,52,52,264,2,1,0,1,7,0.48,43.38,0,1,0,2,0,0,0
ca6f9bd1-a8b7-520d-ae3c-cfbdfcad8967,2023-1,Ingenieria en Energia,2021,79.23,86.09,24,1,5,128,48.48,75.58,9,1,3,0,0,1,1,0,Regular,32,32,264,5,0,0,1,5,6.86,24.21,1,2,0,2,1,0,0
2c6cceac-a7dd-5fa6-aff0-dd9c0e44f7d0,2024-2,Ingenieria en Desarrollo de Software,2022,77.88,79.78,23,1,6,165,61.11,72.07,7,2,2,0,0,1,0,1,Regular,47,47,270,6,0,0,1,6,1.9,19.78,1,1,0,0,1,0,0
fca0dbba-f4cf-55c4-9c93-f136911022d7,2025-1,Ingenieria en Desarrollo de Software,2022,88.8,90.06,31,0,5,199,73.7,57.08,13,1,2,0,0,0,0,0,Regular,34,34,270,6,0,0,0,5,1.26,21.26,1,1,0,2,0,0,0
81f13c87-c94a-5126-ac9d-9ec101cd0da9,2024-1,Ingenieria en Desarrollo de Software,2021,90.28,81.95,25,1,7,194,71.85,56.25,13,2,0,1,0,3,0,2,Regular,46,46,270,7,0,0,1,7,-8.33,19.59,0,0,0,0,3,0,0
14f674d3-2cf9-572d-be3b-8f534073c4fd,2024-2,Ingenieria en Energia,2023,73.56,63.88,13,4,5,67,25.38,61.73,13,6,1,2,0,0,1,3,Regular,33,26,264,4,0,1,4,5,-9.68,33.52,1,0,1,1,0,0,0
6879877d-1fcf-50dc-a0e5-f09c2dd8100a,2023-1,Ingenieria Agroindustrial,2021,57.99,47.28,20,2,0,126,45.65,7.74,24,2,4,1,0,2,2,3,Baja Temporal,0,0,276,5,2,1,2,0,-10.71,27.36,3,1,1,1,2,0,0
a567c8e6-6ee5-5d08-81b6-e76c439042ee,2025-1,Ingenieria en Desarrollo de Software,2024,79.75,74.19,18,2,7,105,38.89,63.08,12,1,2,3,0,2,2,1,Regular,50,43,270,4,1,1,2,7,-5.56,17.82,0,2,1,0,2,0,0
9ec6c0c7-fa5e-50c1-840d-4c01763bd50a,2024-1,Ingenieria en Energia,2023,96.03,100.0,15,0,7,83,31.44,66.24,9,2,2,0,0,1,0,1,Regular,55,55,264,3,1,0,0,7,3.97,49.27,0,2,0,2,1,0,0
a7df975b-7ec8-5296-a6d1-e362c38154ad,2023-2,Ingenieria Agroindustrial,2023,67.83,59.8,9,1,4,50,18.12,81.3,2,1,3,1,0,0,1,1,Regular,28,28,276,2,0,0,1,4,-8.03,16.14,2,1,3,1,0,0,0
b70f1395-40a7-52cf-8b57-705d882791d1,2023-1,Ingenieria en Energia,2020,63.77,62.12,30,3,5,178,67.42,54.59,15,1,1,0,0,1,2,1,Regular,35,35,264,7,0,0,3,5,-1.65,16.75,0,1,0,3,1,0,0
d49fe70b-748d-59d2-9911-107948b504e1,2024-1,Ingenieria Biomedica,2023,84.61,67.57,20,2,6,118,41.84,97.32,0,1,5,1,0,1,2,0,Regular,39,39,282,5,0,0,2,6,-17.04,13.56,3,2,1,3,0,1,0
92f13414-0739-5310-ac0a-4964f6514f24,2023-1,Ingenieria Agroindustrial,2022,85.91,88.92,16,1,6,82,29.71,67.96,6,5,3,0,1,1,0,2,Regular,35,35,276,3,0,0,1,6,3.01,18.52,1,2,0,1,1,0,0
7159b173-9ecc-50d9-85d8-baf81be2427f,2024-1,Ingenieria Agroindustrial,2021,87.42,73.41,25,1,6,182,65.94,70.62,6,4,3,0,0,2,1,2,Regular,43,43,276,6,1,0,1,6,-14.01,15.09,3,0,1,1,2,0,0
aeb75c15-099d-5377-b2e7-cbe2f751a7b3,2024-2,Ingenieria en Energia,2020,86.54,,33,0,0,254,96.21,7.21,25,2,4,0,0,1,0,2,Baja Temporal,0,0,264,10,2,0,0,0,,16.22,2,2,0,1,0,1,1
d410e5fc-2f40-54bf-af72-bccade60e117,2025-1,Ingenieria Biomedica,2023,75.47,74.14,9,0,6,60,21.28,69.53,10,2,3,0,1,0,0,3,Regular,42,42,282,4,1,0,0,6,-1.33,20.02,0,3,0,1,0,0,0
44afa7f0-e37a-5bdf-8b5a-f76bc6af06e2,2023-2,Ingenieria Biomedica,2020,76.78,85.13,40,2,5,199,70.57,93.1,0,2,0,0,1,0,0,3,Regular,38,38,282,7,0,0,2,5,8.35,15.56,0,0,0,0,0,0,0
b0b66310-071b-56cc-82f2-c6a88d25ceae,2023-2,Ingenieria en Energia,2022,54.95,31.78,3,3,4,18,6.82,62.8,11,0,2,0,1,6,3,1,Regular,25,12,264,3,1,2,3,4,-23.17,43.72,1,1,0,3,6,0,0
9946a2e9-35f6-5dbc-9490-827405ec0525,2024-1,Ingenieria en Desarrollo de Software,2021,55.25,,19,3,0,128,47.41,9.67,25,3,8,2,1,3,1,5,Baja Temporal,0,0,270,7,2,1,3,0,,41.08,5,3,6,3,3,0,1
bd8f050b-1201-5194-b9e5-5d5477a07c0e,2024-2,Ingenieria en Desarrollo de Software,2021,64.6,64.26,26,3,4,172,63.7,46.62,12,2,0,4,0,2,1,2,Irregular,23,6,270,8,0,3,3,4,-0.34,19.59,0,0,0,1,2,0,0
dbbd6d6e-5ee3-5726-848e-32cbf0da130d,2023-1,Ingenieria Agroindustrial,2024,76.08,73.18,4,0,6,33,11.96,57.74,13,5,1,1,0,0,0,2,Regular,36,36,276,1,1,0,0,6,-2.9,37.76,1,0,1,0,0,0,0
