id_estudiante,id_periodo,programa,cohorte,estatus_academico,cluster,distance_to_centroid,membership_score,promedio_general,porcentaje_asistencia,materias_reprobadas_acumuladas,rezago_materias,tendencia_promedio,perfil_academico,criterio_outlier
IDS20230189,Septiembre-Diciembre 2023,Ingeniería en Desarrollo de Software,2023,Regular,0,9.305974364994976,0.0970310971659871,83.36,85.05,0,0,0.84,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20210011,Septiembre-Diciembre 2023,Ingeniería en Energía,2021,Regular,0,8.431907731646053,0.1060230897557222,79.03,75.83,0,2,10.01,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20220135,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2022,Regular,0,7.702845455093369,0.1149049474864277,79.85,80.92,0,1,0.73,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20210270,Septiembre-Diciembre 2023,Ingeniería en Energía,2021,Irregular,0,7.628793239939521,0.1158910605681645,79.78,62.65,1,3,-4.83,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20220289,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2022,Regular,0,7.394980442354058,0.1191188004387521,77.33,74.35,0,2,0.0,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IBM20210004,Septiembre-Diciembre 2023,Ingeniería Biomédica,2021,Irregular,0,7.27695120778691,0.1208174332427144,88.15,75.46,0,3,-1.0,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20200163,Septiembre-Diciembre 2023,Ingeniería en Energía,2020,Irregular,0,7.250617196963846,0.121203053799174,86.0,68.81,0,4,2.8,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20240320,Septiembre-Diciembre 2023,Ingeniería en Energía,2024,Baja Temporal,0,7.143192755963122,0.1228019561820782,77.1,55.91,2,0,10.89,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IDS20240104,Septiembre-Diciembre 2023,Ingeniería en Desarrollo de Software,2024,Regular,0,7.0542225091704776,0.1241584769804171,77.16,84.57,1,0,6.48,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IBM20240370,Septiembre-Diciembre 2023,Ingeniería Biomédica,2024,Irregular,0,6.980791415299305,0.1253008565144283,59.46,85.72,4,0,22.8,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
