,promedio_general,promedio_periodo,materias_aprobadas,materias_reprobadas,materias_en_curso,creditos_acumulados,porcentaje_avance,porcentaje_asistencia,faltas,retardos,num_tutorias,num_asesorias,num_incidencias,num_permisos,recursamientos,rezago_materias,creditos_inscritos_periodo,creditos_aprobados_periodo,creditos_totales_plan,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
promedio_general,1.0,0.777984531618529,0.13381573815489378,-0.42939394842835915,0.020316426913152268,0.14098457069863493,0.1408781598150604,0.04272997139243074,-0.02747174122830602,-0.05184779680777505,-0.07085441029416366,-0.2997568937001386,-0.004485286882601598,-0.02149590874675439,-0.3355474668899889,-0.2772259681775125,0.0044615399172298325,0.1349335035404599,0.012328585491045442,-0.019861974774365944,-0.02392150978803087,-0.34398915100025607,-0.42939394842835915,0.020316426913152268,0.02106905019043348,-0.2273124358299623,-0.2973019304618966,0.18117504214872532,-0.19372751573826752,0.1307728062436963,-0.017056626926589134,-0.016268539031692203,-0.03926828533258544
promedio_periodo,0.777984531618529,1.0,0.12893279809962824,-0.46733025687952323,0.003033507791825361,0.13932939750752274,0.14058132486933805,0.14618378286839503,-0.12360645320650308,-0.04936485603936685,-0.008532091693047132,-0.35313719997099635,-0.04661112052501188,-0.17831378102589118,-0.3546526230240467,-0.29293651322214503,-0.007632726093162653,0.21219594731273508,-0.004089692177682243,0.004272699545507261,-0.008569502888201208,-0.4818005093071839,-0.46733025687952323,0.003033507791825361,0.6445353607452003,-0.16293182240424095,-0.23796731230708987,0.2012798295704124,-0.17411264523417183,0.16232995071994274,-0.18565566103292255,-0.002115750910225117,
materias_aprobadas,0.13381573815489378,0.12893279809962824,1.0,0.19771262385575208,-0.006282406678909276,0.9658989681335355,0.9653108449918492,0.0005869565242395169,0.008274727544455192,-0.0214383533768165,-0.03254858903636221,-0.006622761555321057,0.021448266788351805,-0.0052467192234966755,0.13849563387083316,0.0868663659497942,-0.007166242938585858,0.017108459150108155,0.024558822378650775,0.9170032125478315,-0.03206533832031039,-0.05733103795329828,0.19771262385575208,-0.006282406678909276,0.045652382951902014,-0.07681703017597756,-0.024387679772701454,-0.0206784930481225,-0.030340021721196965,-0.03304684344865375,-0.02090286107568081,0.04477986757521138,-0.04688676495141981
materias_reprobadas,-0.42939394842835915,-0.46733025687952323,0.19771262385575208,1.0,0.013713504295846916,0.1970483954385929,0.19800978481111084,-0.16199133368102642,0.16059133482665525,0.10694274311935892,0.06196073568712489,0.43847799822289246,0.05936546066089926,0.08409547130950427,0.739695807568059,0.5283548780997722,0.010751611446500012,-0.23844972222850902,-0.01969354717501713,0.2938824876490245,0.03510999817019141,0.6448765930374304,1.0,0.013713504295846916,-0.22819056991374095,0.15574848276008166,0.23410330987930272,-0.1344627752001749,0.15546074501292403,-0.12176528896941385,0.09054239469090744,-0.005708279588777605,-0.014002770619802056
materias_en_curso,0.020316426913152268,0.003033507791825361,-0.006282406678909276,0.013713504295846916,1.0,-0.007287768444384265,-0.005306109818726508,0.49086562515379306,-0.3980647256765121,-0.04200669484651044,-0.13081800608089933,-0.004791228545654109,0.01738314407407335,-0.03635349063402399,0.020286991464298552,-0.2309776836599928,0.9278347291763697,0.8491336283178759,-0.014409827172559621,-0.024750708309409633,-0.5340945683111722,0.016129078001467814,0.013713504295846907,1.0,0.006676651466348881,0.011598529239492845,-0.11748511324889925,-0.06507976714714202,-0.050989903775098905,-0.008299560499057168,-0.02817445937550075,-0.029468360184911162,-0.5489108858596162
creditos_acumulados,0.14098457069863493,0.13932939750752274,0.9658989681335355,0.1970483954385929,-0.007287768444384265,1.0,0.9988633365567896,-0.0026863562736989676,0.012267061102749013,-0.02283922350694914,-0.03216208615134684,-0.01590676318640739,0.030099017641226956,-0.019453908552044166,0.14684472511675917,0.08065254769556705,-0.004987816084532169,0.020051057302556262,0.03484225895568917,0.9516026104673179,-0.03429938891436055,-0.058771936333936646,0.1970483954385929,-0.007287768444384272,0.05302965538483455,-0.07854763453816874,-0.02086035540332729,-0.02343172458491478,-0.022387705853200178,-0.03369101908012338,-0.032486550943806224,0.03493194215587532,-0.0500963284323983
porcentaje_avance,0.1408781598150604,0.14058132486933805,0.9653108449918492,0.19800978481111084,-0.005306109818726508,0.9988633365567896,1.0,-0.0029234873216898234,0.013380468752825695,-0.023149793628668605,-0.030574257753283894,-0.016062573950340317,0.030906772252682076,-0.020981493366064148,0.1483774594334783,0.0797607627252288,-0.0036898908415907215,0.02130355725470661,-0.006060499626538109,0.9534339464061222,-0.03423346703272203,-0.058990934265717214,0.19800978481111087,-0.005306109818726501,0.0551181180154799,-0.07588302321801259,-0.01999838971553095,-0.022119400574505035,-0.0201072439005987,-0.03432179488556602,-0.034841512278375265,0.03710413646790019,-0.04928836342868841
porcentaje_asistencia,0.04272997139243074,0.14618378286839503,0.0005869565242395169,-0.16199133368102642,0.49086562515379306,-0.0026863562736989676,-0.0029234873216898234,1.0,-0.934179226391875,-0.2791352101339573,-0.08113492102566658,-0.13835813203675515,-0.23447825883795173,-0.211261065497594,-0.09878003934297623,-0.289286519109704,0.46184068367656494,0.5451237268936944,0.039830997681512346,-0.004132290417823021,-0.45157119601688106,-0.31264046356222075,-0.16199133368102633,0.4908656251537929,0.18891337950958892,-0.03170437190814386,-0.10654448984175592,-0.009170006082521975,-0.10000395929137708,0.05200495540238936,-0.20017507722337627,-0.06511186363108382,-0.4302311824979315
faltas,-0.02747174122830602,-0.12360645320650308,0.008274727544455192,0.16059133482665525,-0.3980647256765121,0.012267061102749013,0.013380468752825695,-0.934179226391875,1.0,0.2921075855932713,0.05480235767510534,0.13799441690485673,0.24699926125748048,0.14778662518048497,0.1022185665411883,0.24888522966519602,-0.3749436323755759,-0.4652262188177691,-0.05157874370505549,0.00951535826846744,0.3818891029960385,0.30897340090156916,0.16059133482665525,-0.3980647256765119,-0.17911610499184247,0.00600083816371725,0.0857809565841121,-0.006602300860633775,0.07983727359264114,-0.05123388590497529,0.13878413535509465,0.04918129261189502,0.370881777042194
retardos,-0.05184779680777505,-0.04936485603936685,-0.0214383533768165,0.10694274311935892,-0.04200669484651044,-0.02283922350694914,-0.023149793628668605,-0.2791352101339573,0.2921075855932713,1.0,-0.0024675398052917737,0.11546629121592904,0.11710354366209551,0.0490020658918503,0.07589127472380604,0.09643193883726832,-0.026947016781134543,-0.09423964344627857,-0.006641837488558164,-0.02244829283974405,0.08905448874675202,0.16320518626428432,0.1069427431193589,-0.04200669484651047,-0.030152823669364594,-0.03977677919221532,0.03204537924786649,-0.03296045623642877,0.03880197583247728,-0.031782967237801336,0.05541609449918563,-0.0110653908732542,0.040746538183966244
