variable,count,mean,std,min,25%,50%,75%,max
promedio_general,999.0,76.70873873873873,8.76670746234134,36.7,70.34,77.33,82.50999999999999,100.0
promedio_periodo,903.0,77.4155703211517,9.802421862452928,36.7,72.475,78.4,83.82499999999999,100.0
materias_aprobadas,999.0,2.279279279279279,1.9371593258140274,0.0,1.0,2.0,3.0,9.0
materias_reprobadas,999.0,0.5745745745745746,1.0660521227646875,0.0,0.0,0.0,1.0,7.0
materias_en_curso,999.0,0.23123123123123124,0.5060610448828099,0.0,0.0,0.0,0.0,3.0
creditos_acumulados,999.0,13.077077077077076,11.190957963702472,0.0,6.0,11.0,18.0,57.0
porcentaje_avance,999.0,4.812442442442442,4.129979309710609,0.0,2.13,4.07,6.705,21.11
porcentaje_asistencia,999.0,71.92659659659661,11.461408272442075,12.0,65.74000000000001,73.46,80.53,94.11
faltas,999.0,9.023023023023024,3.8854425485479265,1.0,6.0,9.0,11.0,29.0
retardos,999.0,1.5465465465465464,1.0667058208343994,0.0,1.0,1.0,2.0,5.0
num_tutorias,999.0,1.8158158158158157,1.2382150310169,0.0,1.0,2.0,3.0,7.0
num_asesorias,999.0,1.4914914914914914,1.3599178028611711,0.0,0.0,1.0,2.0,8.0
num_incidencias,999.0,0.30930930930930933,0.8214456581917927,0.0,0.0,0.0,0.0,4.0
num_permisos,999.0,2.175175175175175,1.3037422413991047,0.0,1.0,2.0,3.0,8.0
recursamientos,999.0,0.8088088088088088,1.3416715871546354,0.0,0.0,0.0,1.0,9.0
rezago_materias,999.0,1.5805805805805806,1.571050496511312,0.0,0.0,1.0,3.0,4.0
creditos_inscritos_periodo,999.0,11.31931931931932,7.004374322982035,4.0,6.0,10.0,14.0,41.0
creditos_aprobados_periodo,999.0,8.00900900900901,7.1260423713781185,0.0,4.0,6.0,11.0,41.0
creditos_totales_plan,999.0,272.2102102102102,6.71073197969211,264.0,264.0,270.0,276.0,282.0
periodos_cursados,999.0,1.952952952952953,0.9254738204690265,1.0,1.0,2.0,3.0,4.0
periodos_sin_inscripcion,999.0,3.694694694694695,3.238341488025625,0.0,0.0,3.0,8.0,8.0
materias_reprobadas_periodo,999.0,0.3433433433433433,0.7015822607295413,0.0,0.0,0.0,0.5,6.0
materias_reprobadas_acumuladas,999.0,0.5745745745745746,1.0660521227646875,0.0,0.0,0.0,1.0,7.0
materias_en_curso_periodo,999.0,0.23123123123123124,0.5060610448828099,0.0,0.0,0.0,0.0,3.0
tendencia_promedio,903.0,0.15316722037652272,7.32355542173633,-28.7,-1.05,0.0,1.7,31.6
varianza_calificaciones,999.0,24.71179179179179,51.30778040563633,0.0,4.41,7.5,21.439999999999998,678.6
tutorias_abiertas,999.0,0.6776776776776777,0.879636135953704,0.0,0.0,0.0,1.0,6.0
tutorias_cerradas,999.0,1.1381381381381381,0.8936072990675661,0.0,0.0,1.0,2.0,4.0
compromisos_pendientes,999.0,0.7847847847847848,1.0444666341383937,0.0,0.0,0.0,1.0,7.0
compromisos_cumplidos,999.0,1.4114114114114114,1.0724785921271585,0.0,1.0,1.0,2.0,6.0
permisos_aprobados,999.0,1.5555555555555556,1.0211523740405661,0.0,1.0,2.0,2.0,5.0
permisos_rechazados,999.0,0.6196196196196196,0.624688664304128,0.0,0.0,1.0,1.0,3.0
bandera_dato_incompleto,999.0,0.2042042042042042,0.40332081237860495,0.0,0.0,0.0,0.0,1.0
