representation,k,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,n_samples,iterations
scaled_features,2,21908.039174881334,0.23720920892245073,140.85135044885394,2.356807393958802,216,784,1000,11
scaled_features,3,19475.71914871377,0.1702719909164519,141.39934876541182,2.119222299611426,73,666,1000,14
scaled_features,4,18352.982567318508,0.08631792713180791,120.24256981423636,2.412508356120525,72,396,1000,32
scaled_features,5,17523.776817288413,0.08176487134227216,106.12498299252336,2.318653126561506,72,296,1000,18
scaled_features,6,16952.489990618516,0.0784510370936698,94.37227161027032,2.319264422335277,71,285,1000,11
scaled_features,7,16443.647242845887,0.07975273441457821,86.11692773481849,2.215914812216212,52,274,1000,23
scaled_features,8,15929.791699680372,0.07622584770483248,80.69020077553009,2.299227850875616,36,252,1000,36
pca_90,2,19794.29694441006,0.24872802308016234,155.6661610787939,2.237469807070888,216,784,1000,9
pca_90,3,17365.55500144122,0.17536442031583274,158.34997660894194,2.020871607823743,73,644,1000,13
pca_90,4,16242.849702039517,0.1001310138613938,135.6980422554576,2.2630267798808643,72,394,1000,16
pca_90,5,15430.448602647857,0.09283878946135135,120.12076051791462,2.1769506091381543,72,292,1000,39
pca_90,6,14867.846068242417,0.08839115200611918,107.15532622888661,2.1999447957202083,72,268,1000,24
pca_90,7,14387.034092457257,0.0896085907958274,97.71850575682454,2.104105983259366,65,261,1000,13
pca_90,8,13947.607197888163,0.08760448308334377,90.77536133587606,2.1313449296962177,46,227,1000,22
