variable,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_rate
promedio_general,68.5325,84.41,15.877499999999998,44.71625,108.22625,3,0.003
promedio_periodo,63.065,83.19250000000001,20.127500000000012,32.87374999999998,113.38375000000002,5,0.005
materias_aprobadas,9.0,28.0,19.0,-19.5,56.5,0,0.0
materias_reprobadas,0.0,2.0,2.0,-3.0,5.0,18,0.018
materias_en_curso,4.0,6.0,2.0,1.0,9.0,73,0.073
creditos_acumulados,57.0,189.0,132.0,-141.0,387.0,0,0.0
porcentaje_avance,21.04,69.1925,48.152499999999996,-51.18874999999999,141.42125,0,0.0
porcentaje_asistencia,49.7175,80.7475,31.03,3.1724999999999994,127.2925,8,0.008
faltas,6.0,15.0,9.0,-7.5,28.5,18,0.018
retardos,1.0,3.0,2.0,-2.0,6.0,13,0.013
num_tutorias,1.0,4.0,3.0,-3.5,8.5,1,0.001
num_asesorias,0.0,2.0,2.0,-3.0,5.0,10,0.01
num_incidencias,0.0,1.0,1.0,-1.5,2.5,15,0.015
num_permisos,0.0,2.0,2.0,-3.0,5.0,16,0.016
recursamientos,0.0,1.0,1.0,-1.5,2.5,62,0.062
rezago_materias,0.0,2.0,2.0,-3.0,5.0,9,0.009
creditos_inscritos_periodo,28.0,41.0,13.0,8.5,60.5,73,0.073
creditos_aprobados_periodo,25.0,39.0,14.0,4.0,60.0,79,0.079
creditos_totales_plan,270.0,282.0,12.0,252.0,300.0,0,0.0
periodos_cursados,2.75,7.0,4.25,-3.625,13.375,0,0.0
periodos_sin_inscripcion,0.0,0.0,0.0,0.0,0.0,214,0.214
materias_reprobadas_periodo,0.0,0.0,0.0,0.0,0.0,235,0.235
materias_reprobadas_acumuladas,0.0,2.0,2.0,-3.0,5.0,18,0.018
materias_en_curso_periodo,4.0,6.0,2.0,1.0,9.0,73,0.073
tendencia_promedio,-9.69,2.5175,12.2075,-28.00125,20.82875,6,0.006
varianza_calificaciones,18.515,36.942499999999995,18.427499999999995,-9.126249999999992,64.58374999999998,29,0.029
tutorias_abiertas,0.0,2.0,2.0,-3.0,5.0,5,0.005
tutorias_cerradas,0.0,2.0,2.0,-3.0,5.0,16,0.016
compromisos_pendientes,0.0,2.0,2.0,-3.0,5.0,13,0.013
compromisos_cumplidos,0.0,2.0,2.0,-3.0,5.0,43,0.043
permisos_aprobados,0.0,2.0,2.0,-3.0,5.0,12,0.012
permisos_rechazados,0.0,0.0,0.0,0.0,0.0,168,0.168
bandera_dato_incompleto,0.0,0.0,0.0,0.0,0.0,36,0.036
