component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,4.811203524139323,0.19225569282460742,0.19225569282460742
PC2,3.499737570371921,0.139849513312062,0.3321052061366694
PC3,2.14188051988074,0.08558954557443439,0.41769475171110376
PC4,1.6274362496492703,0.06503235253598487,0.48272710424708865
PC5,1.5692725427581453,0.06270813080861551,0.5454352350557041
PC6,1.414193801814362,0.05651118432050193,0.6019464193762061
PC7,1.20121840731095,0.04800068755614558,0.6499471069323517
PC8,1.1289083939632987,0.04511117942277343,0.6950582863551251
PC9,0.9790747981018735,0.03912382893215088,0.734182115287276
PC10,0.9190464894451571,0.03672509771822849,0.7709072130055045
PC11,0.861772423711935,0.03443642605152893,0.8053436390570334
PC12,0.7696577913716545,0.030755525343211323,0.8360991644002448
PC13,0.7077761146313651,0.02828273354066936,0.8643818979409141
PC14,0.6551983169112882,0.026181724743775083,0.8905636226846892
PC15,0.6183018500747863,0.02470734192898847,0.9152709646136777
PC16,0.46466738910622424,0.018568108868684728,0.9338390734823625
PC17,0.44882827082180876,0.017935177702039486,0.951774251184402
PC18,0.3705465409100229,0.014807039774764521,0.9665812909591665
PC19,0.329872649130044,0.013181711059236562,0.979763002018403
PC20,0.2972321117104082,0.011877395183947917,0.991640397202351
PC21,0.08583603263888955,0.0034300078642500276,0.995070405066601
PC22,0.0691684625326941,0.002763971762806457,0.9978343768294075
PC23,0.031910930980622955,0.0012751608019856938,0.9991095376313931
PC24,0.015051861970318907,0.0006014724043339437,0.999711010035727
PC25,0.007231981087915214,0.00028898996427309206,1.0000000000000002
